OBJECTID,NAME,GeoNew,SqMi,Zip_Code,Median_Inc,Median_I_1,Percent_Re,RSO,Occupied_H,RSO_per_Oc,Per_who_Pa,Population,High_Chang,Current_Ra,Future_Rai,Housing_Pr,Affordable,Eligible,F7indicato,F2000_est,Difference,Percent_Di,Exclusion_,SHAPE_Length,SHAPE_Area
24,1833,A06037183300,0.208992126416,90042,57276,9048,40.106793,444,1011,0.439169,31.944444,3371,0.869792,0,0,0,0,Eligible,0.24650686478,3739,-368,-9.842203798, ,0.0309506467549368,5.28971568179766e-05
25,1835.20,A06037183520,0.165133197254,90042,39861,5345,72.763419,754,1033,0.729913,27.506775,3586,0.869792,0.909137,0,0,0,Eligible,0.359242869358,4138,-552,-13.33977767, ,0.0284585691143419,4.17911565855061e-05
26,1836.10,A06037183610,0.14619005078,90042,36618,12062,72.32801,559,934,0.598501,41.325811,3386,0.869792,1,0,0,0,Eligible,0.403119370195,3729,-343,-9.198176455, ,0.0287361877124061,3.69984686524389e-05
27,1838.20,A06037183820,0.119169067497,90042,35074,12900,75.714286,802,997,0.804413,40.458937,3920,0.869792,0.867342,0,0.621251,0,Eligible,0.485659145041,3590,330,9.192200557, ,0.0319861352818681,3.01562382974668e-05
28,1851,A06037185100,0.879530476028,90065,53927,7975,54.303626,692,2105,0.328741,41.447368,6240,0.832716,1,0,0,0.436781,Eligible,0.399279838871,6159,81,1.315148563, ,0.0769896493516077,0.000222571433240044
29,1852.02,A06037185202,0.465526281359,90065,49567,25258,55.005133,491,1317,0.372817,45.189504,3896,0.695699,0.925683,0,0,0,Eligible,0.339514215974,3827,69,1.802978835, ,0.0529203546993556,0.000117790809717511
30,1853.10,A06037185310,0.162577054395,90065,44063,8874,63.017032,523,785,0.666242,50.314465,3699,0.729806,0.917562,0,0,0,Eligible,0.373487969039,3364,335,9.958382878, ,0.0368719296534376,4.11350017335436e-05
31,1853.20,A06037185320,0.228016289723,90065,38393,4982,64.246824,484,872,0.555046,20.072333,2760,0.793835,0.887433,0,0,0,Eligible,0.313532577192,3186,-426,-13.37099812, ,0.0422407721015013,5.7689646063969e-05
32,1864.01,A06037186401,0.371215978516,90065,29004,5043,85.470802,483,977,0.494371,31.121281,3579,0.818346,0,0,0,0,Eligible,0.316638011277,3675,-96,-2.612244898, ,0.0549580980035732,9.39530359638411e-05
33,1972,A06037197200,0.300033841867,90031,46813,8400,46.726115,601,1160,0.518103,24.070797,3925,0.847324,0.772116,0,0,0,Eligible,0.294871955903,3983,-58,-1.456188802, ,0.044898850892561,7.5912538079679e-05
34,1973,A06037197300,0.252601230345,90026,51875,9755,71.149022,1243,1752,0.709475,28.697749,3991,0.907053,0,0,0,0,Eligible,0.302909400455,4517,-526,-11.6492976, ,0.0450967890111129,6.39043183844473e-05
35,1974.20,A06037197420,0.237671248316,90026,55156,22952,69.049774,885,1304,0.678681,27.02407,3492,0.907053,0,0,0,0,Eligible,0.293541714613,4165,-673,-16.15846339, ,0.0340875186306182,6.01287428715236e-05
36,1975,A06037197500,0.247284200917,90026,53623,7902,84.661059,1234,1582,0.780025,29.910045,4043,0.907053,0,0,0,0,Eligible,0.324049552509,5161,-1118,-21.66246851, ,0.0311415078299623,6.25530446620817e-05
37,1976,A06037197600,0.1499207858,90026,46893,7314,75.626243,632,979,0.645557,26.329787,2523,0.907053,0,0,0,0,Eligible,0.300385639937,2898,-375,-12.93995859, ,0.0304726884828726,3.79218980565963e-05
38,1977,A06037197700,0.270950669056,90012,31571,6638,82.740525,1033,1680,0.614881,32.946299,5151,0.891084,0.849016,0,0,0,Eligible,0.395206849066,5569,-418,-7.497533559, ,0.0423939716124465,6.85360679880699e-05
39,1990,A06037199000,0.602548327016,90031,34369,5090,74.777563,602,1543,0.390149,42.148014,5170,0.794011,1,0,0,0,Eligible,0.395550679911,3641,1529,41.9939577, ,0.0563955586084072,0.000152433885909489
40,1991.10,A06037199110,0.348296544226,90032,45987,9120,44.932163,208,739,0.281461,21.538462,2506,0,0,0,0,0,Eligible,0.0990381913292,2748,-242,-8.820641029, ,0.0429653888742081,8.81119233384098e-05
41,1871.02,A06037187102,0.84812654713,90039,50227,9730,60.669456,692,1128,0.613475,30.428954,3107,0.882895,0.818732,0,0,0,Eligible,0.339286172613,3443,-336,-9.760390177, ,0.114237136865285,0.00021462130476811
42,1872,A06037187200,0.367304683418,90039,36935,5987,62.358199,457,856,0.533879,39.818182,2909,0.882895,0,0,0,0,Eligible,0.307580223098,3352,-443,-13.21365754, ,0.0472533063869119,9.29472245659445e-05
43,2364,A06037236400,0.506298760861,90008,56100,12209,43.947192,910,2032,0.447835,30.51882,4469,0,0,0.708528,0,0,Eligible,0.232126322478,4193,276,6.582399237, ,0.0587613130896847,0.000127971663187781
44,2375,A06037237500,0.130245721663,90044,28900,6051,79.790535,553,782,0.707161,37.859425,2604,0,0,0,0,0,Eligible,0.193515687917,2748,-144,-5.240174672, ,0.0241322563669237,3.29095742722254e-05
45,2132.01,A06037213201,0.129321190257,90006,31587,3522,94.340035,1031,1507,0.684141,30.250896,4576,0,0.749405,0,0,0,Eligible,0.264457551741,3855,721,18.70298314, ,0.025667546193631,3.27051422130943e-05
46,2132.02,A06037213202,0.130471382517,90006,31017,5706,89.292103,1017,1316,0.772796,32.630691,3946,0,0,0,0,0,Eligible,0.199956547212,4125,-179,-4.339393939, ,0.025411235344009,3.29945863789138e-05
47,1283.02,A06037128302,0.26596004745,91411,29914,3000,75.154385,865,1433,0.603629,49.064626,4957,0,0,0,0,0,Eligible,0.220348272464,4763,194,4.073063195, ,0.0386025431690345,6.73672348040013e-05
48,1343.06,A06037134306,0.239295712461,91304,61875,19425,56.132498,352,1120,0.314286,24.292845,3483,0,0,0,0,0,Eligible,0.11077611439,3458,25,0.722961249, ,0.0312352734674278,6.06331586359126e-05
49,1193.20,A06037119320,0.191731152569,91402,44983,8728,75.614367,42,1101,0.038147,36.658354,4761,0,0,0,0,0,Eligible,0.191403304292,3812,949,24.89506821, ,0.0280146623952609,4.85968691969965e-05
50,2945.20,A06037294520,0.186927219652,90744,45536,7135,65.521034,472,939,0.502662,31.825796,3642,0,0,0,0,0,Eligible,0.162052780465,3609,33,0.914380715, ,0.0280869847535769,4.71227976743842e-05
51,2133.10,A06037213310,0.120497668715,90006,34018,6426,92.010243,908,1153,0.787511,33.396226,3915,0,0,0,0,0,Eligible,0.20460585328,3550,365,10.28169014, ,0.0229357350273462,3.04730332934968e-05
52,2133.20,A06037213320,0.120247001832,90006,25809,7113,92.297358,817,955,0.855497,26.623377,2233,0.734823,0,0,0,0.453425,Eligible,0.338798327891,2743,-510,-18.59278163, ,0.0229935059956242,3.04096442474607e-05
53,2134.01,A06037213401,0.0757137184883,90006,35522,2557,98.191526,1363,1747,0.780195,27.513227,5806,0.778038,0,0,0,0,Eligible,0.328936170504,5623,183,3.254490486, ,0.0198653212424931,1.9148129991491e-05
54,2134.02,A06037213402,0.151291583504,90006,37720,5428,90.916649,1299,1501,0.865423,23.697359,4820,0.809303,0,0,0,0,Eligible,0.307360335932,5318,-498,-9.364422715, ,0.0253153056217858,3.82601254119343e-05
55,2169,A06037216900,0.422607476981,90019,61848,21855,53.864214,1479,2550,0.58,31.271016,5262,0,0,0.493176,0,0,Eligible,0.213035862337,5382,-120,-2.229654404, ,0.0443301978595061,0.000106873333967641
56,2171,A06037217100,0.346653562403,90019,61071,16142,61.31295,1661,2300,0.722174,26.557583,5572,0,0,0,0,0,Eligible,0.140152713901,6036,-464,-7.687210073, ,0.0390773642157901,8.76642817595098e-05
57,2172,A06037217200,0.354849795645,90019,50100,9679,81.028601,1414,1494,0.946452,27.768314,3820,0,0,0,0,0,Eligible,0.171590711172,3950,-130,-3.291139241, ,0.0468065380075557,8.97376865294915e-05
